Home,Hscore,Ascore,Away,date,Odds_1,Odds_X,Odds_2,O,U
Burnley,1,1,Brighton,2024-04-13,3.5,3.75,2.0,1.67,2.2
Bournemouth,2,2,Manchester Utd,2024-04-13,2.4,3.9,2.6,1.44,2.75
Liverpool,0,1,Crystal Palace,2024-04-14,1.22,7.0,12.0,1.4,3.0
West Ham,0,2,Fulham,2024-04-14,2.38,3.6,2.8,1.67,2.2
Arsenal,0,2,Aston Villa,2024-04-14,1.29,5.75,10.0,1.5,2.63
Chelsea,6,0,Everton,2024-04-15,1.7,4.2,4.5,1.53,2.5
Luton Town,1,5,Brentford,2024-04-20,3.1,3.75,2.15,1.57,2.38
Sheffield Utd,1,4,Burnley,2024-04-20,2.75,3.6,2.45,1.67,2.2
Wolves,0,2,Arsenal,2024-04-20,8.5,4.5,1.4,1.62,2.3
Everton,2,0,Nott'ham Forest,2024-04-21,2.05,3.5,3.6,1.93,1.97
Aston Villa,3,1,Bournemouth,2024-04-21,1.85,4.0,3.6,1.44,2.75
Crystal Palace,5,2,West Ham,2024-04-21,2.1,3.6,3.4,1.8,2.0
Fulham,1,3,Liverpool,2024-04-21,5.25,4.5,1.57,1.44,2.75
Arsenal,5,0,Chelsea,2024-04-23,1.44,5.0,6.0,1.53,2.5
Wolves,0,1,Bournemouth,2024-04-24,2.7,3.6,2.5,1.67,2.2
Manchester Utd,4,2,Sheffield Utd,2024-04-24,1.3,6.5,7.5,1.36,3.2
Everton,2,0,Liverpool,2024-04-24,7.0,5.0,1.4,1.53,2.5
Crystal Palace,2,0,Newcastle Utd,2024-04-24,2.75,3.6,2.4,1.57,2.38
Brighton,0,4,Manchester City,2024-04-25,6.5,5.0,1.4,1.5,2.63
West Ham,2,2,Liverpool,2024-04-27,5.5,5.0,1.5,1.36,3.2
Wolves,2,1,Luton Town,2024-04-27,1.95,3.8,3.6,1.62,2.3
Fulham,1,1,Crystal Palace,2024-04-27,2.1,3.5,3.5,1.73,2.1
Manchester Utd,1,1,Burnley,2024-04-27,1.5,4.75,5.5,1.36,3.2
Newcastle Utd,5,1,Sheffield Utd,2024-04-27,1.22,7.0,11.0,1.33,3.4
Everton,1,0,Brentford,2024-04-27,2.3,3.5,3.0,1.87,2.03
Aston Villa,2,2,Chelsea,2024-04-27,2.15,3.8,3.0,1.44,2.75
Tottenham,2,3,Arsenal,2024-04-28,4.2,4.2,1.75,1.5,2.63
Bournemouth,3,0,Brighton,2024-04-28,2.25,3.8,2.9,1.44,2.75
Nott'ham Forest,0,2,Manchester City,2024-04-28,8.0,6.0,1.3,1.53,2.5
Chelsea,2,0,Tottenham,2024-05-02,2.15,3.8,3.0,1.3,3.5
Luton Town,1,1,Everton,2024-05-03,2.6,3.6,2.55,1.73,2.1
Arsenal,3,0,Bournemouth,2024-05-04,1.22,7.5,11.0,1.33,3.4
Burnley,1,4,Newcastle Utd,2024-05-04,3.4,4.0,1.95,1.5,2.63
Sheffield Utd,1,3,Nott'ham Forest,2024-05-04,4.75,4.2,1.65,1.57,2.38
Brentford,0,0,Fulham,2024-05-04,2.1,3.8,3.2,1.57,2.38
Manchester City,5,1,Wolves,2024-05-04,1.08,12.0,21.0,1.3,3.5
Brighton,1,0,Aston Villa,2024-05-05,2.75,3.75,2.45,1.5,2.63
Chelsea,5,0,West Ham,2024-05-05,1.65,4.5,4.5,1.4,3.0
Liverpool,4,2,Tottenham,2024-05-05,1.5,5.75,5.0,1.25,4.0
Crystal Palace,4,0,Manchester Utd,2024-05-06,2.38,3.75,2.8,1.53,2.5
Fulham,0,4,Manchester City,2024-05-11,13.0,7.0,1.2,1.36,3.2
Wolves,1,3,Crystal Palace,2024-05-11,2.88,3.5,2.38,1.8,2.0
West Ham,3,1,Luton Town,2024-05-11,1.8,4.2,3.8,1.44,2.75
Tottenham,2,1,Burnley,2024-05-11,1.36,5.75,7.0,1.25,4.0
Everton,1,0,Sheffield Utd,2024-05-11,1.4,4.8,7.5,1.53,2.5
Newcastle Utd,1,1,Brighton,2024-05-11,1.57,4.75,4.75,1.33,3.4
Bournemouth,1,2,Brentford,2024-05-11,1.95,4.0,3.5,1.44,2.75
Nott'ham Forest,2,3,Chelsea,2024-05-11,3.4,3.8,2.0,1.5,2.63
Manchester Utd,0,1,Arsenal,2024-05-12,7.0,5.5,1.36,1.36,3.2
Aston Villa,3,3,Liverpool,2024-05-13,4.2,4.33,1.7,1.33,3.4
Tottenham,0,2,Manchester City,2024-05-14,6.5,6.0,1.36,1.25,4.0
Brighton,1,2,Chelsea,2024-05-15,3.3,4.0,1.95,1.4,3.0
Manchester Utd,3,2,Newcastle Utd,2024-05-15,2.75,4.0,2.3,1.33,3.4
Luton Town,2,4,Fulham,2024-05-19,2.9,3.9,2.2,1.44,2.75
Sheffield Utd,0,3,Tottenham,2024-05-19,7.0,6.0,1.33,1.22,4.33
Manchester City,3,1,West Ham,2024-05-19,1.08,12.0,21.0,1.2,4.5
Arsenal,2,1,Everton,2024-05-19,1.18,8.0,12.0,1.36,3.2
Brighton,0,2,Manchester Utd,2024-05-19,2.15,4.0,2.9,1.33,3.4
Brentford,2,4,Newcastle Utd,2024-05-19,2.9,3.9,2.2,1.36,3.2
Chelsea,2,1,Bournemouth,2024-05-19,1.45,5.0,6.0,1.29,3.75
Crystal Palace,5,0,Aston Villa,2024-05-19,1.85,4.33,3.6,1.4,3.0
Liverpool,2,0,Wolves,2024-05-19,1.17,8.0,15.0,1.22,4.33
Burnley,1,2,Nott'ham Forest,2024-05-19,3.0,3.5,2.3,1.53,2.5
